date,symbol,close,kno,w,h,e,n,rd,pct,cr
9/5/08,EMR,44.22,415,1,3,3,4,R,67,7
9/5/08,ETR,96.85,495,1,3,1,4,R,83,7
9/5/08,FCX,73.91,415,1,2,1,4,R,92,4
9/5/08,FRX,30.19,247,1,1,3,4,R,83,8
9/5/08,GLW,16.69,487,2,1,1,4,R,92,5
9/5/08,HCBK,18.38,853,0,7,0,2,D,15,7
9/5/08,JEC,64.57,415,1,3,1,4,R,83,5
9/5/08,JOY,51.44,427,2,1,1,4,R,92,5
9/5/08,JWN,32.56,664,0,5,5,8,D,24,8
9/5/08,LH,72.99,664,0,5,5,8,D,24,8
9/5/08,MDLZ,32.68,654,4,4,5,2,D,37,8
9/5/08,PPL,39.66,235,1,1,3,4,R,83,8
9/5/08,SPG,93.76,854,0,8,0,8,D,13,7
9/5/08,TJX,34.37,854,0,9,0,2,D,12,5
9/5/08,WMB,27.85,487,2,3,1,4,R,75,7
9/5/08,AA,28.3,567,4,4,3,3,R,43,26
9/5/08,AAPL,160.18,567,0,7,3,7,R,29,25
9/5/08,AEE,39.95,565,0,7,3,3,R,29,26
9/5/08,BSX,12.57,577,0,9,0,7,D,88,26
9/5/08,CCI,35.12,565,4,6,4,3,R,35,25
9/5/08,CNP,15.75,757,0,9,0,7,R,12,27
9/5/08,COP,75.43,757,4,4,5,3,R,37,28
9/5/08,CSC,44.22,757,4,5,5,7,R,33,26
9/5/08,DLTR,38.89,753,0,7,0,1,R,85,27
9/5/08,FLS,113.65,777,4,4,3,7,D,57,27
9/5/08,GD,85.64,567,4,6,3,7,R,38,25
9/5/08,HOT,36.93,567,0,9,0,7,R,12,25
9/5/08,INTC,20.61,567,4,5,2,7,R,48,25
9/5/08,ITW,47.91,753,0,9,1,7,R,53,27
9/5/08,LLY,45.44,755,4,5,5,3,R,33,27
9/5/08,MA,221.44,777,4,5,2,7,D,52,27
9/5/08,MCHP,29.7,567,4,6,2,7,R,47,25
9/5/08,MMM,69.19,567,4,7,3,3,R,38,25
9/5/08,MO,20.95,567,0,9,0,7,R,12,25
9/5/08,POM,23.63,757,4,4,3,3,R,43,28
9/5/08,RAI,52.31,565,0,9,0,7,R,12,25
9/5/08,VAR,62.84,752,0,4,5,1,R,72,25
9/5/08,VZ,34.08,565,0,7,3,7,R,29,25
9/5/08,WAT,64.02,757,0,7,3,7,R,29,27
9/5/08,XLNX,23.94,567,4,6,1,7,R,55,25
9/8/08,AKAM,18.8,417,2,2,3,4,R,67,7
9/8/08,BCR,95.84,664,0,5,5,8,D,24,8
9/8/08,BTU,49.92,428,2,3,2,4,R,67,8
9/8/08,CMCSK,21.2,854,0,6,0,2,D,17,8
9/8/08,COH,30.68,664,3,5,4,8,D,40,8
9/8/08,COST,68.93,663,0,7,3,8,D,29,8
9/8/08,DNB,94.88,664,0,7,5,2,D,21,8
9/8/08,ETFC,3.44,853,0,7,3,0,D,29,8
9/8/08,FCX,72.06,417,2,2,1,4,R,83,5
9/8/08,FFIV,32.36,854,0,9,0,2,D,12,5
9/8/08,FISV,51.66,661,0,5,5,8,D,24,8
9/8/08,FITB,16.9,664,3,3,5,8,D,43,8
9/8/08,GLW,16.58,487,2,1,1,4,R,92,5
9/8/08,HCBK,18.67,853,0,6,4,2,D,26,5
9/8/08,HSY,38.93,661,4,5,3,2,D,40,7
9/8/08,JEC,61.91,417,1,3,1,4,R,83,5
9/8/08,JOY,46.86,427,1,1,1,4,R,100,4
9/8/08,M,22.38,854,3,3,5,8,D,43,6
9/8/08,MAR,29.69,663,3,4,5,8,D,40,8
