date,stock,close,kno,w,h,e,n,rd,pct
04/11/2013,SRCL,108.54,311,4,1,5,1,D,57
04/11/2013,XRX,9.27,311,1,3,3,1,D,67
04/12/2013,GILD,51.93,311,1,2,2,1,D,83
04/12/2013,NU,44.66,311,1,2,0,1,D,70
04/12/2013,PFE,30.67,311,1,2,1,1,D,92
04/12/2013,T,38.59,311,2,3,0,1,D,50
04/12/2013,VTR,77.18,311,1,1,0,1,D,80
04/19/2013,ABC,55.92,311,1,1,2,1,D,92
04/19/2013,PEG,35.90,311,1,2,3,1,D,75
04/22/2013,PNW,59.95,311,1,3,0,1,D,60
04/22/2013,UNP,147.44,311,1,2,1,1,D,92
04/23/2013,JNJ,85.45,311,1,1,3,1,D,83
04/23/2013,VTR,79.39,311,2,1,4,1,D,72
04/24/2013,PCL,53.38,311,4,3,3,1,D,47
04/25/2013,FISV,90.17,311,4,2,0,1,D,46
04/25/2013,WLP,73.75,311,1,2,3,1,D,75
04/26/2013,AES,13.47,311,2,3,5,1,D,52
04/26/2013,GME,34.62,311,2,2,0,1,D,60
04/26/2013,LMT,98.97,311,1,2,0,1,D,70
04/26/2013,MAC,68.80,311,1,2,0,1,D,70
04/26/2013,PPL,33.03,311,2,2,0,1,D,60
04/29/2013,CMS,29.75,311,1,2,3,1,D,75
04/29/2013,RAI,47.50,311,1,2,3,1,D,75
04/30/2013,ACT,105.73,311,1,1,2,1,D,92
04/30/2013,DLPH,46.21,311,4,4,2,1,D,52
04/30/2013,NU,45.33,311,3,3,0,1,D,40
05/02/2013,HCN,75.58,311,2,1,0,1,D,70
05/03/2013,AON,63.31,311,1,4,0,1,D,56
05/03/2013,RSG,34.48,311,2,3,0,1,D,50
05/06/2013,GME,37.19,311,2,1,5,1,D,68
05/07/2013,EFX,62.99,311,2,3,0,1,D,50
05/07/2013,FITB,17.51,311,1,3,0,1,D,60
05/07/2013,HOT,66.40,311,2,4,0,1,D,46
05/07/2013,IRM,38.91,311,2,3,3,1,D,58
05/07/2013,KIM,24.87,311,2,2,1,1,D,83
05/07/2013,LUK,32.00,311,4,2,0,1,D,46
05/07/2013,NOC,77.21,311,2,1,0,1,D,70
05/07/2013,UNP,153.72,311,1,2,4,1,D,72
05/08/2013,SNA,89.28,311,1,2,0,1,D,70
05/08/2013,WFM,102.19,311,1,1,2,1,D,92
05/09/2013,TJX,50.69,311,1,2,3,1,D,75
05/10/2013,BDX,99.61,311,4,3,3,1,D,47
05/13/2013,FSLR,50.45,311,4,1,5,1,D,57
05/13/2013,STJ,45.22,311,1,4,3,1,D,63
05/14/2013,ACT,121.68,311,2,1,2,1,D,83
05/14/2013,BCR,106.75,311,1,3,4,1,D,63
05/14/2013,HD,77.32,311,1,3,0,1,D,60
05/14/2013,JCI,37.22,311,1,3,0,1,D,60
05/15/2013,BK,30.21,311,1,3,1,1,D,83
05/15/2013,COST,112.82,311,1,3,3,1,D,67
05/15/2013,CVS,60.35,311,4,3,2,1,D,55
05/15/2013,ECL,89.14,311,1,2,0,1,D,70
05/15/2013,JWN,61.44,311,1,1,2,1,D,92
05/15/2013,MMC,40.74,311,1,1,0,1,D,80
05/15/2013,PFG,38.10,311,1,2,5,1,D,68
05/15/2013,STT,63.61,311,1,3,1,1,D,83
05/15/2013,WFM,103.33,311,3,1,0,1,D,60
05/17/2013,STI,31.88,311,1,3,0,1,D,60
05/21/2013,AXP,75.11,311,1,1,3,1,D,83
05/21/2013,HAR,53.36,311,2,2,1,1,D,83
05/21/2013,HCP,55.28,311,3,2,4,1,D,55
05/21/2013,LMT,106.99,311,2,1,4,1,D,72
05/30/2013,AIG,46.21,311,4,2,0,1,D,46
05/30/2013,GT,15.82,311,1,1,4,1,D,80
05/30/2013,KORS,65.68,311,1,2,2,1,D,83
05/30/2013,MET,44.34,311,4,2,3,1,D,55
05/30/2013,ZION,28.60,311,2,2,4,1,D,63
06/03/2013,CFN,37.28,311,2,3,2,1,D,67
06/07/2013,MU,12.65,311,4,2,3,1,D,55
06/19/2013,MU,13.97,311,1,1,1,1,D,100
07/01/2013,HSP,39.06,311,4,3,2,1,D,55
07/02/2013,CVC,19.02,311,1,1,1,1,D,100
07/08/2013,AMZN,290.59,311,1,3,3,1,D,67
07/08/2013,BBT,34.95,311,1,3,5,1,D,60
07/09/2013,CTAS,47.22,311,1,3,0,1,D,60
07/09/2013,KR,37.15,311,1,3,3,1,D,67
07/09/2013,UNH,67.97,311,1,3,0,1,D,60
07/11/2013,AMAT,16.49,311,1,3,3,1,D,67
07/11/2013,GPS,44.76,311,2,3,0,1,D,50
07/11/2013,PEP,84.55,311,1,5,2,1,D,68
07/11/2013,RAI,51.59,311,1,3,3,1,D,67
07/11/2013,WAT,104.49,311,1,3,0,1,D,60
07/12/2013,CTAS,48.00,311,1,3,0,1,D,60
07/12/2013,EOG,144.71,311,2,3,0,1,D,50
07/15/2013,BCR,112.02,311,1,3,0,1,D,60
07/15/2013,MYL,32.13,311,1,4,3,1,D,63
07/15/2013,XRX,9.84,311,2,3,5,1,D,52
07/19/2013,STJ,51.69,311,2,2,1,1,D,83
07/23/2013,BBT,35.73,311,4,3,3,1,D,47
07/25/2013,TXN,39.25,311,2,3,3,1,D,58
07/29/2013,ACT,134.48,311,4,4,2,1,D,52
07/29/2013,ORLY,123.57,311,2,3,3,1,D,58
07/31/2013,ADS,197.78,311,1,2,1,1,D,92
07/31/2013,EMN,80.43,311,1,3,3,1,D,67
07/31/2013,HRS,57.07,311,1,2,3,1,D,75
08/01/2013,GIS,52.73,311,4,3,3,1,D,47
08/01/2013,GME,49.98,311,1,2,1,1,D,92
08/01/2013,KORS,68.65,311,1,3,1,1,D,83
08/02/2013,DD,59.92,311,1,3,3,1,D,67
08/02/2013,MYL,36.40,311,1,1,1,1,D,100
08/02/2013,ROK,100.10,311,1,1,2,1,D,92
08/02/2013,TXN,39.94,311,1,2,4,1,D,72
08/05/2013,ADM,37.86,311,4,3,2,1,D,55
08/09/2013,CTAS,49.08,311,2,2,2,1,D,75
08/23/2013,LMT,126.00,311,4,3,3,1,D,47
09/06/2013,NOV,78.01,311,1,3,4,1,D,63
09/10/2013,DOW,39.98,311,1,2,3,1,D,75
