TYPE,DATE,STOCK,PRICE,AMT,# OF SHARES,$ SPENT/MADE,CASH AFTER
SUB,10/17/96,UNP,53.88,2.0,2783.9643652561244,150000.0,x
ADD,4/8/04,UNP,57.05,1.0,1929.8130787842751,110095.83614464289,x
SUB,4/20/07,UNP,117.21,2.0,853.1695247845747,100000.0,x
SUB,2/19/13,UPS,84.76,0.5,589.9008966493628,50000.0,x
SUB,10/28/13,UPS,97.77,1.0,511.40431625242917,50000.0,x
SUB,10/29/13,UPS,98.31,2.0,1017.1905197843556,100000.0,x
SUB,5/13/96,URBN,39.5,1.0,2531.6455696202534,100000.0,x
ADD,11/20/08,URBN,12.82,0.5,20253.164556962027,259645.5696202532,x
SUB,1/30/96,UTX,100.75,0.5,496.27791563275434,50000.0,x
ADD,6/26/08,UTX,62.79,2.0,3970.2233250620347,249290.32258064515,x
SUB,4/29/08,V,80.88,2.0,2472.7992087042535,200000.0,x
SUB,6/30/99,VAR,25.25,0.5,1980.1980198019803,50000.0,x
SUB,4/24/96,VLO,28.0,0.5,1785.7142857142858,50000.0,x
SUB,4/29/96,VLO,28.88,1.0,1731.301939058172,50000.0,x
SUB,2/27/04,VLO,60.0,2.0,1666.6666666666667,100000.0,x
ADD,7/9/08,VLO,34.39,0.5,5183.682891439124,178266.85463659148,x
ADD,7/10/08,VLO,33.8,0.5,5183.682891439124,175208.48173064238,x
ADD,7/11/08,VLO,32.63,0.5,5183.682891439124,169143.57274765865,x
ADD,7/14/08,VLO,31.72,0.5,5183.682891439124,164426.42131644904,x
SUB,3/9/12,VLO,28.56,0.5,1750.700280112045,50000.0,x
SUB,1/29/13,VLO,43.77,1.0,1142.334932602239,50000.0,x
SUB,4/5/06,VMC,93.26,2.0,2144.542140253056,200000.0,x
SUB,3/6/02,VNO,44.12,0.5,1133.2728921124208,50000.0,x
SUB,3/10/06,VNO,94.84,1.0,527.203711514129,50000.0,x
SUB,12/9/98,VRSN,52.0,2.0,3846.153846153846,200000.0,x
SUB,6/19/00,VRTX,109.94,0.5,454.79352374022193,50000.0,x
SUB,6/20/05,VRTX,15.99,2.0,9380.863039399625,150000.0,x
ADD,1/24/08,VRTX,19.26,0.5,2458.9141407849615,47358.686351518365,x
ADD,1/25/08,VRTX,19.17,0.5,2458.914140784961,47137.38407884771,x
SUB,10/29/03,VTR,19.03,0.5,2627.430373095113,50000.0,x
SUB,6/13/97,VZ,77.25,0.5,647.2491909385113,50000.0,x
SUB,6/16/97,VZ,77.38,2.0,1938.4853967433446,150000.0,x
ADD,10/7/05,VZ,30.59,0.5,1292.867293840928,39548.810518593986,x
ADD,10/10/05,VZ,30.29,0.5,1292.8672938409277,39160.9503304417,x
ADD,10/11/05,VZ,29.94,1.0,2585.734587681856,77416.89355519477,x
SUB,9/26/06,VZ,37.96,0.5,1317.1759747102212,50000.0,x
ADD,10/8/08,VZ,27.73,0.5,1373.6612898710307,38091.62756812368,x
SUB,12/23/11,VZ,39.98,0.5,1250.6253126563283,50000.0,x
SUB,1/28/98,WAT,47.0,0.5,1063.8297872340424,50000.0,x
SUB,10/26/06,WAT,49.64,1.0,1007.252215954875,50000.0,x
SUB,11/8/96,WDC,55.5,0.5,900.9009009009009,50000.0,x
SUB,1/14/97,WDC,75.0,1.0,666.6666666666666,50000.0,x
SUB,8/11/97,WDC,50.0,2.0,2000.0,100000.0,x
SUB,1/17/96,WEC,31.75,0.5,1574.8031496062993,50000.0,x
SUB,1/18/96,WEC,31.88,1.0,1568.3814303638646,50000.0,x
ADD,9/28/99,WEC,22.69,0.5,1571.592289985082,35659.42905976151,x
SUB,6/30/05,WEC,39.0,2.0,3846.153846153846,150000.0,x
SUB,3/4/02,WFC,49.14,0.5,1017.5010175010175,50000.0,x
ADD,1/4/08,WFC,27.49,1.0,1017.5010175010175,27971.10297110297,x
SUB,5/28/04,WFM,86.0,0.5,581.3953488372093,50000.0,x
SUB,6/25/04,WFM,93.43,1.0,535.1600128438403,50000.0,x
SUB,9/22/97,WHR,67.0,2.0,2985.0746268656717,200000.0,x
ADD,8/1/11,WHR,67.84,0.5,746.2686567164179,50626.8656716418,x
ADD,8/2/11,WHR,65.13,1.0,1492.5373134328358,97208.95522388059,x
SUB,4/27/11,WM,39.46,0.5,1267.1059300557527,50000.0,x
SUB,11/9/04,WMB,13.57,0.5,3684.598378776713,50000.0,x
SUB,11/10/04,WMB,14.41,2.0,10409.43789035392,150000.0,x
ADD,9/9/08,WMB,25.68,1.0,7047.018134565316,180967.42569563733,x
ADD,9/10/08,WMB,26.09,1.0,7047.018134565316,183856.7031308091,x
SUB,2/17/11,WMB,30.08,1.0,3324.468085106383,100000.0,x
SUB,6/18/14,WMB,57.35,2.0,1743.6791630340017,100000.0,x
SUB,3/12/97,WMT,28.75,0.5,1739.1304347826087,50000.0,x
SUB,7/25/97,WMT,38.38,1.0,1302.7618551328817,50000.0,x
